REFNUM,UTMZONE,UTMEASTING,UTMNORTHIN
"82000473","19","360700","4598150"
"83000566","18","643710","4700860"
"83000568","18","650545","4713695"
"83000573","19","344510","4709260"
"83000574","19","352200","4719520"
"82000481","19","344200","4709310"
"83000577","19","344300","4709460"
"83000578","19","344430","4734740"
"83000579","19","340100","4702700"
"83000580","19","344320","4709430"
"83000581","19","344030","4709080"
"83000582","19","329430","4738190"
"83000583","19","344430","4709050"
"83000584","19","344010","4709210"
"83000585","19","327930","4727260"
"83000586","19","340100","4702750"
"82000484","19","344430","4713970"
"83000587","19","339900","4702750"
"83000588","19","344020","4709260"
"83000589","19","344030","4709140"
"83000590","19","344040","4709210"
"83000591","18","696910","4717580"
"83000592","18","686900","4726480"
"83000593","19","334750","4679310"
"83000594","19","338780","4670780"
"83000595","19","313800","4659300"
"83000596","19","315150","4683660"
"83000596","19","315140","4683500"
"83000597","19","313800","4659100"
"83000598","19","317900","4658950"
"83000599","19","332700","4682700"
"83000601","19","328230","4686370"
"83000603","19","327020","4689240"
"83000605","19","324340","4691220"
"83000606","19","329425","4689170"
"83000607","19","330420","4691220"
"82000485","19","336430","4695450"
"82000486","19","330490","4691040"
"82000487","19","275670","4690300"
"83000609","19","254100","4717850"
"82000488","19","291680","4668240"
"83000616","19","311720","4638830"
"83000620","19","320660","4620200"
"83000622","19","317750","4628800"
"83000624","19","320720","4618890"
"83000626","19","312080","4638580"
"83000627","19","321175","4620180"
"83000629","19","320405","4618650"
"83000630","19","318630","4618410"
"83000631","19","321260","4618160"
"83000632","19","322515","4621360"
"83000633","19","314840","4633170"
"83000634","19","313840","4636060"
"83000635","19","319400","4617305"
"83000636","19","315920","4641250"
"83000637","19","321925","4622290"
"83000638","19","320740","4619410"
"83000639","19","312260","4641150"
"83000640","19","322285","4620080"
"83000642","19","312840","4635880"
"83000643","19","313100","4636020"
"83000645","19","320790","4618870"
"83000646","19","320775","4618820"
"83000647","19","319715","4618790"
"83000651","19","323190","4620380"
"83000652","19","321625","4620100"
"83000653","19","320820","4618615"
"83000655","19","320580","4618760"
"83000660","19","310060","4635570"
"83000660","19","310060","4634530"
"83000661","19","322265","4617660"
"83000663","19","312440","4634410"
"83000665","19","320545","4620285"
"83000668","19","320640","4619050"
"83000672","19","312570","4637300"
"83000673","19","315360","4635000"
"83000674","19","322230","4617575"
"83000676","19","320795","4619950"
"83000678","19","317140","4629550"
"83000679","19","317060","4629500"
"83000681","19","317150","4628700"
"83000683","19","321905","4619185"
"83000684","19","313380","4631700"
"83000685","19","322560","4617430"
"83000688","19","312110","4627500"
"83000689","19","310530","4631290"
"83000690","19","320730","4620310"
"83000692","19","319465","4617365"
"83000696","19","323080","4623355"
"83000697","19","322410","4617480"
"83000699","19","319625","4617690"
"83000700","19","315080","4637770"
"83000702","19","322820","4618630"
"83000705","19","321600","4618765"
"83000706","19","322020","4617840"
"83000708","19","320660","4620270"
"83000710","19","320685","4620505"
"82000489","19","304770","4643600"
"83000715","19","320000","4618560"
"83000717","19","320720","4620260"
"83000720","19","321325","4620560"
"83000721","19","322460","4617520"
"83000722","19","319660","4618120"
"83000723","19","320455","4618340"
"83000724","19","319090","4618910"
"83000725","19","339530","4610980"
"83000726","19","321740","4617970"
"83000726","19","321780","4618010"
"83000727","19","324480","4624085"
"83000728","19","312880","4635880"
"83000730","19","315500","4638020"
"83000731","19","313370","4633620"
"83000732","19","324690","4624180"
"83000733","19","321160","4620230"
"83000735","18","699340","4664080"
"83000736","18","699630","4663490"
"83000737","18","699120","4664110"
"83000739","18","699640","4663480"
"83000741","18","698910","4663880"
"83000742","18","698870","4663960"
"83000743","18","699580","4663530"
"83000744","18","699110","4664220"
"83000745","18","699240","4664420"
"83000745","18","698830","4663970"
"83000746","18","699060","4663920"
"83000747","18","699140","4663930"
"83000748","18","699070","4663850"
"83000750","18","698900","4663950"
"83000751","18","699230","4663720"
"83000752","18","698920","4664400"
"83000753","18","699220","4664140"
"83000754","18","699245","4664140"
"83000755","18","699610","4663500"
"83000756","18","699820","4663530"
"83000757","18","699200","4663940"
"83000758","18","698915","4663940"
"83000759","18","698920","4663910"
"83000761","18","699130","4664260"
"83000762","18","699540","4663620"
"83000763","18","699720","4663480"
"83000764","18","699050","4663910"
"83000765","18","699170","4663580"
"83000766","18","699590","4663660"
"83000767","18","699060","4664040"
"83000768","18","699020","4664010"
"83000769","18","685820","4665550"
"83000770","18","699180","4663920"
"83000771","18","699020","4663920"
"83000772","18","699430","4663480"
"83000774","18","698040","4668575"
"83000775","18","699440","4663580"
"83000776","18","699520","4663460"
"83000777","18","699010","4664040"
"83000778","18","699280","4664140"
"83000779","18","699040","4663880"
"83000785","19","301900","4702690"
"83000786","19","324440","4693380"
"83000787","19","326060","4693400"
"83000788","19","326060","4693400"
"83000790","19","325960","4693020"
"83000791","19","326260","4693700"
"83000792","19","325970","4693520"
"83000793","19","325320","4693940"
"83000795","19","323940","4693320"
"83000796","19","326190","4693280"
"83000798","19","326620","4692040"
"83000799","19","325920","4693120"
"83000800","19","326080","4691580"
"83000801","19","325260","4694300"
"83000802","19","325300","4694320"
"83000803","19","325620","4694350"
"83000805","19","322490","4698060"
"83000806","19","324670","4694260"
"83000807","19","324680","4693520"
"83000808","19","323790","4693060"
"83000810","19","291950","4678030"
"83000811","19","324330","4693720"
"83000813","19","326530","4692800"
"83000814","19","325520","4694740"
"83000815","19","323790","4693640"
"83000816","19","326670","4693040"
"83000818","19","323330","4693500"
"83000819","19","325540","4694640"
"83000820","19","327300","4692300"
"83000822","19","323800","4693300"
"83000823","19","322570","4697760"
"83000824","19","325590","4693140"
"83000825","19","325520","4694380"
"83000827","19","325230","4693800"
"83000828","19","325400","4695130"
"83000829","19","324860","4695500"
"83000830","19","290050","4691250"
"83000831","19","326550","4692190"
"83000832","19","326560","4691960"
"83000833","19","326560","4691960"
"83000834","19","326400","4692850"
"82000492","19","329880","4698990"
"83000835","19","325980","4693020"
"83000836","19","290040","4691250"
"83000837","19","324440","4702020"
